Time SPL GCR BRC VID ORO ALF ANG CHO OTA DOL CET BIR SQD OCT LPF SPF SBF LBF SZO MZO LZO SCR BFF LPH SPH COR BCA MOL MA PB BB DL DR DC DIN RelSPL RelGCR RelBRC RelVID RelORO RelALF RelANG RelCHO RelOTA RelDOL RelCET RelBIR RelSQD RelOCT RelLPF RelSPF RelSBF RelLBF RelSZO RelMZO RelLZO RelSCR RelBFF RelLPH RelSPH RelCOR RelBCA RelMOL RelMA RelPB RelBB RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
1.000000e+01 0.000000 0.000000 204.791654 4.165891 4892.616435 2663.582346 0.014361 87.985056 518.542146 215.410044 216841.450492 0.586195 1.017937 1.082229 145.066846 2083.208598 58.362535 99.392473 3.714449 3.743622 4.381264 0.025123 0.000080 0.263496 0.264125 0.000083 0.000089 0.000098 0.000083 4.447193 0.000116 0.000321 0.000263 0.000000 3510466.646470 0.000000 0.000000 0.946327 1.000202 1.000000 0.993128 0.995950 1.000008 1.000044 1.000001 0.999995 1.000590 2044.726685 1499.798477 0.770528 0.999963 0.999838 0.844276 17835.003650 25666.736526 43055.176534 1.002728 1.000000 31.836884 21.159680 15.019817 7.041799 4.407110 14.933960 1.000000 1.000000 1.000000 1.000000 1.000000 1.656148 514699128226188480.000000 4143.661519 10.622222 0.228636 19112.498797 0.000000
1.100000e+01 0.000000 0.000000 204.791597 4.165973 4892.616564 2663.582375 0.014361 87.985139 518.544381 215.410056 216841.342691 0.586229 1.079905 1.151942 145.065648 2083.202398 58.361845 99.390938 4.009053 4.051273 4.811820 0.025122 0.000080 0.264289 0.264938 0.000083 0.000089 0.000098 0.000083 4.860046 0.000117 0.000346 0.000292 0.000000 3655175.290004 0.000000 0.000000 0.946327 1.000221 1.000000 0.993128 0.995964 1.000009 1.000048 1.000001 0.999995 1.000649 2169.201771 1596.409804 0.770522 0.999960 0.999827 0.844263 19249.552198 27776.030502 47286.298359 1.002692 1.000000 31.932732 21.224820 15.019817 7.041797 4.407108 14.933959 1.000000 1.000000 1.000000 1.000000 1.000000 1.724418 514388246074914944.000000 4146.006966 10.666667 0.228636 19112.489296 0.000000
1.200000e+01 0.000000 0.000000 204.791539 4.166056 4892.616682 2663.582402 0.014362 87.985222 518.546616 215.410068 216841.234889 0.586264 1.141876 1.221660 145.064449 2083.196174 58.361194 99.389478 4.296100 4.349229 5.242340 0.025121 0.000080 0.265387 0.266104 0.000083 0.000089 0.000098 0.000083 4.860650 0.000118 0.000370 0.000323 0.000000 3800697.070254 0.000000 0.000000 0.946327 1.000241 1.000001 0.993128 0.995979 1.000010 1.000052 1.000001 0.999994 1.000708 2293.684005 1693.028404 0.770516 0.999957 0.999815 0.844250 20627.814323 29818.857822 51517.066797 1.002656 1.000000 32.065464 21.318183 15.019817 7.041795 4.407105 14.933959 1.000000 1.000000 1.000000 1.000000 1.000000 1.793071 514143634852402304.000000 4147.853619 10.755556 0.228636 19112.479794 0.000000
1.300000e+01 0.000000 0.000000 204.791481 4.166139 4892.616789 2663.582426 0.014362 87.985305 518.548851 215.410079 216841.127088 0.586299 1.203851 1.291383 145.063251 2083.189926 58.360577 99.387984 4.573331 4.638877 5.672802 0.025120 0.000080 0.266809 0.267627 0.000083 0.000089 0.000098 0.000083 4.864557 0.000120 0.000392 0.000353 0.000000 3945969.850474 0.000000 0.000000 0.946327 1.000261 1.000001 0.993128 0.995994 1.000011 1.000057 1.000001 0.999994 1.000767 2418.173283 1789.654025 0.770509 0.999954 0.999805 0.844238 21958.940784 31804.718513 55747.258207 1.002620 1.000000 32.237270 21.440261 15.019817 7.041793 4.407102 14.933958 1.000000 1.000000 1.000000 1.000000 1.000000 1.861607 513949484156436032.000000 4149.319805 10.888889 0.228636 19112.470292 0.000000
1.400000e+01 0.000000 0.000000 204.791422 4.166222 4892.616886 2663.582449 0.014362 87.985389 518.551087 215.410091 216841.019287 0.586333 1.265830 1.361112 145.062052 2083.183652 58.359990 99.386490 4.841066 4.920591 6.103208 0.025119 0.000080 0.268680 0.269661 0.000083 0.000089 0.000098 0.000083 4.865127 0.000121 0.000417 0.000386 0.000000 4090994.050701 0.000000 0.000000 0.946326 1.000281 1.000001 0.993128 0.996008 1.000012 1.000061 1.000001 0.999993 1.000826 2542.670018 1886.287100 0.770503 0.999951 0.999795 0.844225 23244.478401 33736.186529 59976.912809 1.002584 1.000000 32.463348 21.603171 15.019817 7.041791 4.407099 14.933957 1.000000 1.000000 1.000000 1.000000 1.000000 1.930026 513794211031080064.000000 4150.492513 10.800000 0.228636 19112.460791 0.000000
1.500000e+01 0.000000 0.000000 204.791363 4.166305 4892.616976 2663.582470 0.014362 87.985472 518.553322 215.410103 216840.911486 0.586368 1.327813 1.430847 145.060854 2083.177349 58.359429 99.384997 5.099635 5.194693 6.533568 0.025118 0.000080 0.271192 0.272441 0.000083 0.000089 0.000098 0.000083 4.869872 0.000121 0.000443 0.000420 0.000000 4235770.101304 0.000000 0.000000 0.946326 1.000301 1.000001 0.993128 0.996023 1.000013 1.000065 1.000001 0.999993 1.000885 2667.174654 1982.928095 0.770496 0.999948 0.999785 0.844212 24486.000531 35615.459339 64206.105910 1.002548 1.000000 32.766776 21.825901 15.019817 7.041788 4.407096 14.933957 1.000000 1.000000 1.000000 1.000000 1.000000 1.998327 513668809459283200.000000 4151.439519 10.844444 0.228636 19112.451289 0.000000
1.600000e+01 0.000000 0.000000 204.791304 4.166387 4892.617059 2663.582489 0.014362 87.985556 518.555558 215.410115 216840.803685 0.586403 1.389800 1.500587 145.059655 2083.171017 58.358891 99.383469 5.343375 5.464038 6.963814 0.025117 0.000080 0.274534 0.276157 0.000083 0.000089 0.000098 0.000083 4.927726 0.000121 0.000469 0.000456 0.000000 4380052.606721 0.000000 0.000000 0.946326 1.000321 1.000001 0.993128 0.996038 1.000014 1.000069 1.000001 0.999992 1.000944 2791.687661 2079.577511 0.770490 0.999945 0.999776 0.844199 25656.323442 37462.123501 68434.180172 1.002512 1.000000 33.170619 22.123563 15.019817 7.041786 4.407093 14.933956 1.000000 1.000000 1.000000 1.000000 1.000000 2.066396 513566181932828096.000000 4152.214299 11.555556 0.228636 19112.441787 0.000000
1.700000e+01 0.000000 0.000000 204.791243 4.166470 4892.617135 2663.582508 0.014363 87.985639 518.557794 215.410126 216840.695884 0.586437 1.451791 1.570335 145.058457 2083.164651 58.358374 99.382014 5.584209 5.723747 7.394105 0.025116 0.000080 0.280654 0.283325 0.000083 0.000089 0.000098 0.000083 4.934713 0.000573 0.000112 0.000524 0.000000 4524702.702215 0.000000 0.000000 0.946326 1.000341 1.000001 0.993128 0.996053 1.000015 1.000074 1.000001 0.999992 1.001003 2916.209986 2176.236597 0.770484 0.999942 0.999767 0.844187 26812.692863 39242.722118 72662.699017 1.002476 1.000000 33.910106 22.697808 15.019817 7.041783 4.407090 14.933956 1.000000 1.000000 1.000000 1.000000 1.000000 2.134638 513481570093835712.000000 4152.852851 11.600000 0.228636 19112.432286 0.000000
1.800000e+01 0.000000 0.000000 204.791182 4.166553 4892.617206 2663.582525 0.014363 87.985723 518.560029 215.410138 216840.588084 0.586472 1.513788 1.640089 145.057258 2083.158249 58.357874 99.380523 5.816618 5.976630 7.824439 0.025115 0.000080 0.290224 0.294969 0.000083 0.000089 0.000098 0.000083 4.934777 0.000574 0.000139 0.000562 0.000000 4669104.502698 0.000000 0.000000 0.946325 1.000361 1.000001 0.993128 0.996067 1.000016 1.000078 1.000001 0.999991 1.001063 3040.741769 2272.905278 0.770477 0.999939 0.999759 0.844174 27928.611214 40976.522147 76891.633447 1.002440 1.000000 35.066371 23.630657 15.019817 7.041780 4.407087 14.933955 1.000000 1.000000 1.000000 1.000000 1.000000 2.202763 513410473209874752.000000 4153.389120 11.622222 0.228636 19112.422784 0.000000
1.900000e+01 0.000000 0.000000 204.791121 4.166636 4892.617272 2663.582541 0.014363 87.985807 518.562265 215.410150 216840.480284 0.586506 1.575789 1.709851 145.056060 2083.151810 58.357390 99.379032 6.040920 6.223272 8.254881 0.025115 0.000080 0.305913 0.314890 0.000083 0.000089 0.000098 0.000083 4.934905 0.000574 0.000166 0.000602 0.000000 4813258.432878 0.000000 0.000000 0.946325 1.000381 1.000001 0.993128 0.996082 1.000017 1.000082 1.000001 0.999991 1.001122 3165.283581 2369.584166 0.770471 0.999936 0.999750 0.844162 29005.599384 42667.528070 81121.644014 1.002404 1.000000 36.962006 25.226580 15.019817 7.041776 4.407083 14.933954 1.000000 1.000000 1.000000 1.000000 1.000000 2.270771 513349923662825344.000000 4153.845570 11.622222 0.228636 19112.413283 0.000000
