Time  SPL GCR BRC VID ORO ALF ANG CHO OTA DOL CET BIR LPF SPF SBF LBF
0.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
4.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
5.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
6.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
7.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
8.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
9.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
1.000000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
1.100000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
1.200000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
1.300000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
1.400000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
1.500000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
1.600000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
1.700000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
1.800000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
1.900000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
2.000000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 180.598098 0.000000 0.000000 0.000000
2.100000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.522632 180.598098 0.000000 0.000000 0.000000
2.200000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.522632 180.598098 0.000000 0.000000 0.000000
2.300000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.522632 180.598098 0.000000 0.000000 0.000000
2.400000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.522632 180.598098 0.000000 0.000000 0.000000
2.500000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.522632 180.598098 0.000000 0.000000 0.000000
2.600000e+01 0.000000 0.000000 0.000000 0.000000 0.000000 1471.859341 0.000000 0.000000 0.000000 0.000000 0.000000 0.522632 180.598098 0.000000 0.000000 0.000000
